a	một cái, một con 
burn	đốt cháy     
burp	sự ợ     
burrow	đào, bới     
burst	nổ tung     
bury	chôn vùi     
burying-ground	nghĩa trang     
bus	xe buýt     
bush	bụi rậm     
business	việc kinh doanh    
busy	bận rộn     
butler	quản gia     
butter	bơ      
button	cái nút     
buy	mua      
by	cạnh      
by-end	ẩn ý     
by-lane	ngõ hẻm     
by-law	quy chế     
by-name	tên lóng     
by-product	sản phẩm phụ    
by-road	đường phụ     
by-trade	nghề phụ     
by-way	lối phụ     
bye	tạm biệt     
bye-bye	chào tạm biệt    
bygone	quá khứ     
bypass	đi vòng     
bypath	đường hẻm hẻo lánh   
byre	chuồng bò     
bystander	người ngoài cuộc    
bystreet	phố lẻ     
byword	tục ngữ     
cab	taxi
cabbage	bắp cải
cabin	cabin
cabinet	buồng
cable	cáp
cacao	cacao
cache	bộ nhớ đệm
cacique	cacique
cacophony	cacophony
cactus	cây xương rồng
cad	cad
cadaver	tử thi
caddy	caddie
cadence	nhịp
cadet	thiếu sinh quân
cadmium	cadimi
cadre	cán bộ
cafe	quán cà phê
cafeteria	quán cà phê
caffeine	cafein
cage	cái lồng
cake	bánh
calamity	thiên tai
calcium	canxi
calculate	tính toán
calculated	tính toán
calculation	phép tính
calculator	máy tính
calculus	giải tích
calendar	lịch
calf	bắp chân
caliber	tầm cỡ
calibrate	hiệu chỉnh
calibrated	hiệu chỉnh
calibration	sự định cỡ
Californian	Người California
caliper	thước cặp
caliphate	caliphat
call	gọi
called	gọi là
caller	người gọi
calling	kêu gọi
calm	điềm tĩnh
calming	nguôi đi
calmly	điềm tĩnh
caloric	caloric
Calvinist	Người theo chủ nghĩa Calvin
calypso	calypso
cam	cam
camaraderie	tình bạn thân thiết
Cambodian	Người Campuchia
camcorder	máy quay phim
camel	con lạc đà
camera	Máy ảnh
camouflage	ngụy trang
camp	cắm trại
campaign	chiến dịch
camper	người cắm trại
campesino	campesino
campfire	lửa trại
camping	cắm trại
campsite	khu cắm trại
campus	khuôn viên
can	có thể
Canadian	người Canada
canal	con kênh
cancel	sự hủy bỏ
cancellation	sự hủy bỏ
cancer	ung thư
cancerous	ung thư
candid	thật thà
candidacy	ứng cử
candidate	ứng viên
candidly	thẳng thắn
candle	nến
candor	sự thẳng thắn
candy	kẹo
cane	cây mía
canine	răng nanh
canister	cái hộp
cannabis	cần sa
canned	đóng hộp
cannery	nghề đóng hộp
cannibal	người ăn thịt người
cannibalism	ăn thịt người
cannon	đại bác
canoe	xuồng
canola	cải dầu
canon	canon
canonical	kinh điển
canonize	phong thánh
canopy	Mái hiên
cantaloupe	dưa lưới
cantilever	người đúc cantilever
canto	canto
canvas	Tranh sơn dầu
canyon	hẻm núi
cap	mũ lưỡi trai
capability	khả năng
capable	có khả năng
capacitance	điện dung
capacitor	tụ điện
capacity	sức chứa
cap-and-trade	giới hạn và buôn bán
cape	áo choàng
capillary	mao mạch
capital	tư bản
capital-gains	lãi vốn
capital-intensive	thâm dụng vốn
capitalism	chủ nghĩa tư bản
capitalist	nhà tư bản
capitalization	viết hoa
capitalize	viết hoa
capitol	capitol
capitulate	đầu hàng
capitulation	sự đầu hàng
capricious	thất thường
capstone	thành tựu cao nhất
capsule	viên con nhộng
captain	cơ trưởng
caption	đầu đề
captivate	quyến rũ
captive	tù nhân
captivity	nuôi nhốt
captor	người bắt giữ
capture	chiếm lấy
car	xe ô tô
caravan	đoàn caravan
carbohydrate	cacbohydrat
carbon	carbon
carbonate	cacbonat
carcass	xác thịt
carcinogen	chất gây ung thư
carcinogenic	chất gây ung thư
carcinoma	ung thư biểu mô
card	Thẻ
cardboard	các tông
cardiac	tim
cardinal	hồng y
cardiologist	bác sĩ tim mạch
cardiovascular	tim mạch
care	quan tâm
career	nghề nghiệp
careful	cẩn thận
carefully	cẩn thận
caregiver	người chăm sóc
caregiving	chăm sóc
careless	cẩu thả
carer	người chăm sóc
caretaker	giữ nhà
cargo	hàng hóa
Caribbean	Ca-ri-bê
caribou	tuần lộc
caricature	biếm họa
caring	quan tâm
carmaker	hãng xe hơi
carnage	sự tàn sát
carnival	lễ hội hóa trang
carnivore	động vật ăn thịt
carnivorous	ăn thịt
carotene	caroten
carotenoid	carotenoid
carotid	động mạch cảnh
carpenter	thợ mộc
carpet	tấm thảm
carriage	xe
carrier	vận chuyển
carrot	củ cà rốt
carry	mang
carrying	chở
cart	xe đẩy
cartel	thỏa thuận cạnh tranh
Cartesian	Descartes
cartilage	sụn
cartography	bản đồ học
carton	thùng carton
cartoon	phim hoạt hình
cartoonist	người vẽ tranh biếm họa
cartridge	hộp đạn
carve	khắc chạm
carved	chạm khắc
carver	thợ chạm khắc
carving	chạm khắc
cascade	thác
case	trường hợp
case-by-case	từng trường hợp
caseload	caseload
caseworker	người phụ trách hồ sơ
cash	tiền mặt
cashier	thu ngân
casing	vỏ bọc
casino	sòng bạc
casket	quan tài
cassava	khoai mì
cassette	băng cassette
cast	dàn diễn viên
caste	đẳng cấp
caster	bình luận viên
castigate	điều tra
Castilian	Người Castilian
casting	vật đúc
castle	lâu đài
castration	thiến
casual	bình thường
casually	tình cờ
casualty	thương vong
cat	con mèo
cataclysmic	đại hồng thủy
Catalan	Catalan
catalog	mục lục
catalogue	mục lục
catalyst	chất xúc tác
catalytic	xúc tác
catalyze	xúc tác
catapult	máy bắn đá
cataract	đục thủy tinh thể
catastrophe	Thảm khốc
catastrophic	thảm khốc
catch	chụp lấy
catch-22	bắt-22
catcher	người bắt
catchment	lưu vực
catchword	câu khẩu hiệu
catechism	giáo lý
catechist	giáo lý viên
categorical	phân loại
categorically	phân loại
categorization	sự phân loại
categorize	phân loại
category	thể loại
cater	phục vụ
caterpillar	sâu bướm
catfish	Cá mèo
catharsis	catharsis
cathedral	Thánh đường
catheter	ống thông
cathode	cực âm
Catholic	Công giáo
cation	cation
cattle	gia súc
Caucasian	Người da trắng
caucus	họp kín
causal	nguyên nhân
causality	quan hệ nhân quả
causation	nhân quả
causative	nhân quả
cause	nguyên nhân
cause-and-effect	nhân quả
caution	thận trọng
cautionary	cảnh giác
cautious	dè dặt
cautiously	thận trọng
cavalry	kỵ sĩ
cave	hang
caveat	báo trước
cavernous	có hang
cavity	lỗ
cease	ngưng
cease-fire	ngừng bắn
cedar	tuyết tùng
cede	nhượng lại
ceiling	Trần nhà
celebrant	chủ tế
celebrate	kỉ niệm
celebrated	tôn vinh
celebration	lễ ăn mừng
celebratory	mang tính kỷ niệm
celebrity	Danh nhân
celery	rau cần tây
celestial	thiên
celibacy	độc thân
celibate	độc thân
cell	tủ
cellar	hầm
cello	đàn Trung Hồ cầm
cellphone	điện thoại di động
cellular	di động
cellulite	cellulite
cellulose	xenlulo
Celtic	Celtic
cement	xi măng
cemetery	nghĩa trang
censor	người kiểm duyệt
censorship	sự kiểm duyệt
censure	sự chỉ trích
census	điều tra dân số
centenary	trăm năm
centennial	trăm năm
center	Trung tâm
centered	tập trung
center-left	ở giữa bên trái
centerpiece	trung tâm
centimeter	centimet
central	Trung tâm
centrality	trung tâm
centralization	tập trung hóa
centralize	tập trung hóa
centralized	tập trung
centrally	trung ương
centrifugal	ly tâm
centrist	trung tâm
centuries-old	hàng thế kỷ
century	thế kỷ
ceramic	gốm sứ
ceramics	gốm sứ
cereal	ngũ cốc
cerebral	não
ceremonial	nghi lễ
ceremony	Lễ
cert	chứng chỉ
certain	chắc chắn
certainly	chắc chắn
certainty	sự chắc chắn
certificate	giấy chứng nhận
certification	chứng nhận
certified	chứng nhận
certify	chứng thực
certitude	sự chắc chắn
cervical	cổ tử cung
cessation	đình chỉ
cession	nhượng bộ
chagrin	buồn rầu
chain	chuỗi
chair	cái ghế
chairman	Chủ tịch
chairmanship	chức chủ tịch
chairperson	chủ tọa
chalk	phấn
chalkboard	bảng đen
challenge	thử thách
challenger	kẻ thách thức
challenging	thách thức
chamber	buồng
champ	vô địch
champagne	Rượu sâm banh
champion	quán quân
championship	chức vô địch
chance	cơ hội
chancellor	thủ tướng
change	thay đổi
changeable	có thể thay đổi
changed	đã thay đổi
changer	người thay đổi
changing	thay đổi
channel	kênh
chant	bài hát nhịp
chaos	sự hỗn loạn
chaotic	hỗn loạn
chap	chap
chapel	nhà nguyện
chaplain	tuyên úy
chapter	chương
character	tính cách
characteristic	đặc tính
characteristically	đặc trưng
characterization	đặc điểm
characterize	đặc điểm
charcoal	than củi
charge	sạc điện
charged	tính phí
charger	bộ sạc
charging	tính phí
chariot	xe ngựa
charism	đặc sủng
charisma	sức lôi cuốn
charismatic	lôi cuốn
charitable	từ thiện
charity	từ thiện
charm	quyến rũ
charming	quyến rũ
chart	đồ thị
charter	điều lệ
chartered	thuê
chase	đuổi
chaser	người đuổi bắt
chasm	hang sâu
chassis	khung xe
chastise	sự trừng phạt
chastity	trinh tiết
chat	trò chuyện
chateau	lâu đài
chatter	nói nhảm
chauvinism	chủ nghĩa sô vanh
cheap	rẻ
cheaply	rẻ tiền
cheat	gian lận
cheater	kẻ lừa đảo
cheating	gian lận
Chechen	Chechnya
check	đánh dấu
checker	người kiểm tra
checking	kiểm tra
checklist	danh mục
checkpoint	trạm kiểm soát
checkup	kiểm tra
cheek	má
cheer	reo hò
cheerful	vui lòng
cheerfully	vui vẻ
cheerleader	hoạt náo viên
cheese	phô mai
cheetah	con báo
chef	bếp trưởng
chemical	hóa chất
chemically	về mặt hóa học
chemist	nhà hóa học
chemistry	hoá học
chemotherapy	hóa trị liệu
cherish	trân trọng
cherished	trân trọng
Cherokee	Cherokee
cherry	quả anh đào
chess	cờ vua
chest	ngực
chestnut	hạt dẻ
chew	nhai
chi	chi
chiasmus	chiasmus
chic	sang trọng
Chicano	Chicano
chick	gà con
chicken	Gà
chide	kêu ca
chief	trưởng phòng
chiefdom	thủ lĩnh
chiefly	chủ yếu
chieftain	thủ lĩnh
chieftaincy	thủ lĩnh
child	đứa trẻ
childbearing	sinh đẻ
childbirth	sinh con
child-centered	lấy trẻ em làm trung tâm
childhood	tuổi thơ
childish	trẻ trâu
childless	không con
childlike	ngây thơ
child-rearing	nuôi dưỡng trẻ
Chilean	Người chilê
chili	ớt
chill	sự ớn lạnh
chilled	ướp lạnh
chilling	rùng mình
chilly	se se lạnh
chimney	ống khói
chimp	tinh tinh
chimpanzee	tinh tinh
chin	cái cằm
china	Trung Quốc
Chinese	người Trung Quốc
chinook	chinook
chip	Chip
chiropractor	người chỉnh hình
chisel	đục đẽo
chi-square	chi-square
chivalric	hiệp sĩ
chivalry	tinh thần hiệp sĩ
chloride	clorua
chlorination	sự khử trùng bằng clo
chlorine	clo
chlorophyll	chất diệp lục
chocolate	sô cô la
choice	sự lựa chọn
choir	hợp xướng
choke	nghẹt thở
cholera	bệnh dịch tả
cholesteatoma	cholesteatoma
cholesterol	cholesterol
cholesterol-lowering	giảm cholesterol
choose	lựa chọn
choosing	lựa chọn
chop	chặt
chopped	băm nhỏ
chopper	dao bầu
choral	hợp xướng
chord	dây nhau
chore	việc vặt
choreograph	vũ đạo
choreographer	biên đạo múa
choreography	vũ đạo
chorus	Điệp khúc
chosen	đã chọn
christen	Christen
Christian	Cơ đốc giáo
christological	thần học
chromatic	màu sắc
chrome	trình duyệt Chrome
chromium	crom
chromolithograph	sắc ký đồ
chromosomal	nhiễm sắc thể
chromosome	nhiễm sắc thể
chronic	mãn tính
chronically	kinh niên
chronicle	ghi chép lại
chronicler	biên niên sử
chronological	theo niên đại
chronologically	theo thứ tự thời gian
chronology	niên đại
chronotope	chronotope
chuck	cười khúc khích
chuckle	cười thầm
chunk	khúc gỗ
church	nhà thờ
churchman	nhà thờ
church-state	nhà thờ-nhà nước
churn	khuấy động
chute	máng trượt
cicada	ve sầu
cigar	Điếu xì gà
cigarette	thuốc lá
cilantro	ngò
cinema	Rạp chiếu phim
cinematic	phim điện ảnh
cinnamon	Quế
cipher	mật mã
ciprofloxacin	ciprofloxacin
circadian	sinh học
circle	khoanh tròn
circuit	mạch điện
circuitry	mạch điện
circular	dạng hình tròn
circulate	lưu hành
circulation	vòng tuần hoàn
circulatory	tuần hoàn
circumcision	cắt bao quy đầu
circumference	đường tròn
circumscribe	khoanh vùng
circumspection	sự cắt xén
circumstance	hoàn cảnh
circumstantial	hoàn cảnh
circumvent	phá vỡ
circus	rạp xiếc
cirrhosis	xơ gan
citadel	Thành lũy
citation	sự trích dẫn
cite	trích dẫn
citizen	công dân
citizenry	công dân
citizenship	quyền công dân
citrus	cam quýt
city	thành phố
city-state	thành bang
citywide	toàn thành phố
civic	dân sự
civics	dân sự
civil	dân sự
civilian	dân thường
civility	lịch sự
civilization	nền văn minh
civilized	văn minh
civilizing	khai hóa
civil-military	dân sự-quân sự
civil-rights	quyền công dân
clad	bọc lại
claim	yêu cầu
claimant	người yêu cầu bồi thường
clam	Yên tĩnh
clamber	leo thang
clamor	kêu la
clamp	kẹp
clan	gia tộc
clandestine	bí mật
clap	vỗ tay
clarification	làm rõ
clarify	làm rõ
clarinet	kèn clarinet
clarity	trong trẻo
clash	sự xung đột
clasp	siết chặt
class	lớp
classic	cổ điển
classical	cổ điển
classically	cổ điển
classicism	chủ nghĩa cổ điển
classification	phân loại
classificatory	phân loại
classified	phân loại
classify	phân loại
classmate	bạn cùng lớp
classroom	lớp học
clause	mệnh đề
claw	móng vuốt
clay	đất sét
clean	dọn dẹp
cleaner	sạch hơn
cleaning	làm sạch
cleanliness	sạch sẽ
cleanse	tẩy rửa
cleanser	sữa rửa mặt
cleansing	tẩy rửa
cleanup	dọn dẹp
clear	sạch
clearance	giải tỏa
clear-cut	rõ ràng
clearing	thanh toán bù trừ
clearinghouse	nhà thanh toán bù trừ
clearly	rõ ràng
cleat	cleat
cleavage	sự phân chia
clergy	giáo sĩ
clergyman	giáo sĩ
cleric	giáo sĩ
clerical	văn thư
clerk	nhân viên bán hàng
clever	thông minh
cleverly	khéo léo
cliche	sáo ngữ
cliché	sáo rỗng
click	nhấp chuột
client	khách hàng
clientele	khách hàng
cliff	vách đá
climactic	cao trào
climate	khí hậu
climatic	khí hậu
climax	cực điểm
climb	leo
climber	người leo núi
climbing	leo
cling	bám vào
clinic	phòng khám bệnh
clinical	lâm sàng
clinically	lâm sàng
clinician	bác sĩ lâm sàng
clip	kẹp
clipboard	bìa kẹp hồ sơ
clipping	cắt bớt
clique	bè lũ
cloak	áo choàng
clock	cái đồng hồ
clockwise	theo chiều kim đồng hồ
clog	làm tắc nghẽn
clone	dòng vô tính
cloning	nhân bản
close	gần
closed	đóng cửa
closed-end	kết thúc
closed-loop	vòng kín
closely	chặt chẽ
closeness	sự gần gũi
closer	gần hơn
closest	gần nhất
closet	buồng nhỏ
close-up	cận cảnh
closing	đóng cửa
closure	Khép kín
clot	cục máu đông
cloth	vải
clothe	cái áo
clothes	quần áo
clothing	quần áo
cloture	sự che đậy
cloud	đám mây
cloudy	Nhiều mây
clout	quần áo
clove	Đinh hương
clover	cỏ ba lá
clown	thằng hề
club	câu lạc bộ
clubhouse	nhà câu lạc bộ
clue	manh mối
clump	vón cục
clumsy	hậu đậu
cluster	cụm
clustering	nhóm lại
clutch	ly hợp
clutter	lộn xộn
coach	huấn luyện viên
